[戰神 MARS] 低脂乳清 - 蜂蜜牛奶 (60包/盒),運動補給,3500,1,20,2021-01-12,每包含26公克蛋白質，添加「木瓜酵素」加速消化吸收添加必需氨基酸BCAA 、精胺酸，100%純乳清蛋白，不含大豆蛋白，乳清經過「減乳糖加工程序」，乳糖含量低，乳糖不耐者的福音,data/images/product/p16.jpg
[Blender Bottle] Classic搖搖杯(592ml),運動配件,250,1,25,2021-01-13,360°高密合不滲漏/附專利不銹鋼攪拌球/瓶扣吊環 攜帶便利/無毒塑料 BPA Free& Phthalate Free,data/images/product/p17.jpg
[Yeti Yoga] 海洋瑜珈墊,瑜珈,1280,1,50,2021-01-14,高分子材質製造，紮實、柔軟，色彩繽紛，樣式亮眼吸睛，美國設計印製，無乳膠、無塑化,data/images/product/p18.jpg
16公斤壺鈴,運動器材,1249,0.95,30,2021-01-16,結合肌力強化及有氧訓練！壺鈴訓練不僅能夠幫助增加肌肉力量，更能幫助提升肌肉延展性及耐力。,data/images/product/p20.jpg
2.5公斤六角啞鈴(單入),運動器材,249,0.95,30,2021-01-17,多功能的啞鈴適合健身動作及功能性運動（如伏地挺身類型的運動）。六角形更加穩定。耐用的橡膠可防撞擊。,data/images/product/p21.jpg
7.5公斤六角啞鈴(單入) ,運動器材,649,0.95,30,2021-01-18,多功能的啞鈴適合健身動作及功能性運動（如伏地挺身類型的運動）。六角形更加穩定。 耐用的橡膠可防撞擊。,data/images/product/p22.jpg
12公斤壺鈴 ,運動器材,869,0.95,30,2021-01-19,結合肌力強化及有氧訓練！壺鈴訓練不僅能夠幫助增加肌肉力量，更能幫助提升肌肉延展性及耐力。,data/images/product/p23.jpg
懸吊式訓練器  DST 100,運動器材,600,1,20,2021-01-20,所有訓練器材都能裝進背包內，十分實用使用這款懸掛式訓練器時，可依據自己的健身程度來增減強度，並強化全身肌肉,data/images/product/p24.jpg
60公斤訓練彈力帶,運動器材,499,1,50,2021-01-21,訓練帶不只能夠提升肌肉力量，更能幫助肌肉拉伸。這個多功能的配件會成為你健身不可或缺的物品。,data/images/product/p25.jpg
可調強度阻力繩,運動器材,399,1,25,2021-01-22,耐用且有效的力量訓練配件。 適合進行完整上半身訓練使用。 5種可調整的等級，適用於各種運動運動強度。,data/images/product/p26.jpg
大型穩定瑜珈磚,瑜珈,150,1,50,2021-01-23,大尺寸搭配雙色設計，更容易進行許多姿勢，並幫助你與呼吸保持連結。,data/images/product/p27.jpg
70公分引體向上拉桿,運動器材,750,1,20,2021-01-24,想在家輕鬆做引體向上嗎？試試我們的引體向上槓：不需螺絲即可快速安裝，立即開始訓練上半身。,data/images/product/p28.jpg
【附膝軟墊】兩用健腹輪 ,運動器材,250,1,35,2021-01-25,以膝蓋或腳尖著地進行穩定或不穩定模式訓練，鍛鍊腹橫肌、腹直肌、腹斜肌等等。,data/images/product/p29.jpg
點數加值3000點,點數儲值,3000,1,100,2021-01-26,此點數可用於實體教練課、健身餐、線上直播課程以及實體團體課程。/實體教練課 : 900點/堂  /實體團體課程 : 300點/堂  /線上直播課程 : 300點/堂  ,data/images/product/p30.jpg
點數加值5000點,點數儲值,5000,1,100,2021-01-27,此點數可用於實體教練課、健身餐、線上直播課程以及實體團體課程。 /實體教練課 : 900點/堂  /實體團體課程 : 300點/堂 /線上直播課程 : 300點/堂  ,data/images/product/p30.jpg
點數加值10000點,點數儲值,10000,0.9,100,2021-01-28,此點數可用於實體教練課、健身餐、線上直播課程以及實體團體課程。/實體教練課 : 900點/堂  /實體團體課程 : 300點/堂  /線上直播課程 : 300點/堂  ,data/images/product/p30.jpg

